#,Material Name,Unit,Available in Hand - 31.10.2025,Price Per Unit ,Total Inventory,Unit per Ctn,Category,Material Code,Re Order,Comment,Actions
1,(290x160) - H type Bag - 250g,piece,"11,675.00",7.5,"87,562.50",0,BAGS (Bags),(290X160) - H Type bag,0,,
2,210x320mm - Pepper 1kg Bag,piece,714,19.5,"13,923.00",0,BAGS (Bags),210x320mm - Pepper 1Kg,0,,
3,Annam aatakari Bag 10Kg,piece,"2,635.00",50,"131,750.00",0,BAGS (Bags),AAB10KG,0,,
4,Annam Aatakari Rice Bag 5Kg,piece,987,58.99,"58,225.97",0,BAGS (Bags),AAB5Kg,0,,
5,Annam Chilli Flakes 100g,piece,"29,575.00",10.92,"322,827.50",0,BAGS (Bags),ACFB100,0,,
6,Annam Chilli Flakes 250g,piece,"6,500.00",12.66,"82,288.32",0,BAGS (Bags),ACFB250g,0,,
7,Annam Chilli Flakes Bag 750g,piece,"7,650.00",27.37,"209,376.14",0,BAGS (Bags),ACFB750,0,,
8,Annam Curry Mix Bags 50g,piece,"15,660.00",7.01,"109,753.90",0,BAGS (Bags),ACMWB50g,0,,
9,Annam Cinnamon Bags 50g,piece,"8,090.00",7.52,"60,815.20",0,BAGS (Bags),ACNB50,0,,
10,Annam Cinnamon Powder - 100g,piece,"14,300.00",8.5,"121,550.00",0,BAGS (Bags),ACP-100G,0,,
11,Annam Crushed Pepper Bag 100g,piece,"11,285.00",8.47,"95,570.94",0,BAGS (Bags),ACPB100g,0,,
12,Annam Crushed Pepper 400g,piece,"16,625.00",8.5,"141,312.50",0,BAGS (Bags),ACPB400G,0,,
13,Annam Common Rice Bag 5Kg,piece,"4,504.00",58.12,"261,791.00",0,BAGS (Bags),ACRBG5KG,0,,
14,Annam Curry Powder 250g Bag,piece,0,0,0,0,BAGS (Bags),ACRPB250g,0,,
15,Annam DC Bags 250 G,piece,"10,000.00",10.97,"109,741.02",0,BAGS (Bags),ADC200g,0,,
16,Annam DC Bags  500g,piece,"17,445.00",14.56,"253,913.58",0,BAGS (Bags),ADC500g,0,,
17,Annam Dhal Bag - 2KG,piece,"14,805.00",26.85,"397,514.25",0,BAGS (Bags),ADHALB - 2kg,0,,
18,Annam Goraka - 200g,piece,"2,400.00",9.8,"23,520.00",0,BAGS (Bags),AG - 200g,0,,
19,Annam Goraka Bag 100g,piece,"17,100.00",8.38,"143,349.55",0,BAGS (Bags),AGOBG100,0,,
20,Annam Indian Red Raw Rice Bag 1kg,piece,"19,975.00",20.74,"414,349.90",0,BAGS (Bags),AIRRB1kg,0,,
21,Annam Indian Red Raw Rice Bag 5kg,piece,"1,210.00",52,"62,920.00",0,BAGS (Bags),AIRRB5kg,0,,
22,Annam Jaggery Bag 500g,piece,"14,005.00",13.9,"194,650.61",0,BAGS (Bags),AJB500g,0,,
23,Annam Jaggery Bag 1kg,piece,34,16.74,568.98,0,BAGS (Bags),AKJB1kg,0,,
24,Aluminium Inner Pouch - Bag,piece,149,6,894,0,BAGS (Bags),ALMN IP - Bag,0,,
25,Annam Mace Bag 25g,piece,"6,880.00",7.34,"50,494.77",0,BAGS (Bags),AMB25g,0,,
26,Annam Curry Meat Mix,piece,0,0,0,0,BAGS (Bags),AMCMB,0,,
27,Annam Motta Karuppan Rice 1kg -Bag,piece,"3,300.00",22,"72,600.00",0,BAGS (Bags),AMKB1kg,0,,
28,Annam Pattani Kadala  Bag 100g,piece,"15,000.00",6,"90,000.00",0,BAGS (Bags),APKB100g,0,,
29,Annam Odeal Bag 200g,piece,"13,090.00",5.19,"67,887.33",0,BAGS (Bags),APMB250G,0,,
30,Annam Odeal Flour Bag  250g,piece,"19,275.00",8.22,"158,485.40",0,BAGS (Bags),APMB250G(F),0,,
31,,piece,0,0,0,0,BAGS (Bags),APP20kg (Annam Common Outer Bag 20kg(P.P)),0,,
32,Annam Attacker Rice P.P Bag 20kg,piece,390,52.03,"20,291.49",0,BAGS (Bags),AAPPB20kg,0,,
33,Annam Common Outer Bag 20kg (Yellow),piece,"1,944.00",45.36,"88,180.76",0,BAGS (Bags),APPY20kg,0,,
34,Annam Supiri Keeri Rice 20kg P.P Bag,piece,0,0,0,0,BAGS (Bags),ASK20kg (P.P),0,,
35,Annam Supiri Samba Rice 20kg P.P Bag,piece,214,33,"7,062.00",0,BAGS (Bags),ASSR20kg (P.P ),0,,
36,Annam White Raw Common Outer Bag 20kg (P.P) -,piece,142,20,"2,840.00",0,BAGS (Bags),AWPPB20kg,0,,
37,Annam Common Outer Bag 20kg(P.P),piece,0,0,0,0,BAGS (Bags),APP20kg - Other,0,,
