Material Category,Item,Item Description,Pref Vendor,Unit
1,(290X160) - H Type bag,(290x160) - H type Bag - 250g,1671,1
1,210x320mm - Pepper 1Kg,210x320mm - Pepper 1kg Bag,1671,1
1,AAB10KG,Annam aatakari Bag 10Kg,1672,1
1,AAB5Kg,Annam Aatakari Rice Bag 5Kg,1672,1
1,ACFB100,Annam Chilli Flakes 100g,1672,1
1,ACFB250g,Annam Chilli Flakes 250g,1672,1
1,ACFB750,Annam Chilli Flakes Bag 750g,1672,1
1,ACMWB50g,Annam Curry Mix Bags 50g,1672,1
1,ACNB50,Annam Cinnamon Bags 50g,1672,1
1,ACP-100G,Annam Cinnamon Powder - 100g,1672,1
1,ACPB100g,Annam Crushed Pepper Bag 100g,1672,1
1,ACPB400G,Annam Crushed Pepper 400g,1673,1
1,ACRBG5KG,Annam Common Rice Bag 5Kg,1672,1
1,ACRPB250g,Annam Curry Powder 250g Bag,1671,1
1,ADC200g,Annam DC Bags 250 G,1672,1
1,ADC500g,Annam DC Bags  500g,1672,1
1,ADHALB - 2kg,Annam Dhal Bag - 2KG,1671,1
1,AG - 200g,Annam Goraka - 200g,1671,1
1,AGOBG100,Annam Goraka Bag 100g,1672,1
1,AIRRB1kg,Annam Indian Red Raw Rice Bag 1kg,1672,1
1,AIRRB5kg,Annam Indian Red Raw Rice Bag 5kg,1672,1
1,AJB500g,Annam Jaggery Bag 500g,1672,1
1,AKJB1kg,Annam Jaggery Bag 1kg,1672,1
1,ALMN IP - Bag,Aluminium Inner Pouch - Bag,212,1
1,AMB25g,Annam Mace Bag 25g,1672,1
1,AMCMB,Annam Curry Meat Mix,1672,1
1,AMKB1kg,Annam Motta Karuppan Rice 1kg -Bag,1672,1
1,APKB100g,Annam Pattani Kadala  Bag 100g,1672,1
1,APMB250G,Annam Odeal Bag 200g,1672,1
1,APMB250G(F),Annam Odeal Flour Bag  250g,1672,1
1,APP20kg (Annam Common Outer Bag 20kg(P.P)),,,1
1,AAPPB20kg,Annam Attacker Rice P.P Bag 20kg,1672,1
1,APPY20kg,Annam Common Outer Bag 20kg (Yellow),1672,1
1,ASK20kg (P.P),Annam Supiri Keeri Rice 20kg P.P Bag,1672,1
1,ASSR20kg (P.P ),Annam Supiri Samba Rice 20kg P.P Bag,1672,1
1,AWPPB20kg,Annam White Raw Common Outer Bag 20kg (P.P) -WHITE,1672,1
1,APP20kg - Other,Annam Common Outer Bag 20kg(P.P),1672,1
1,APP35kg (Annam Common Outer Bag 35kh P.P (oman)),,,1
1,ANRP35kg,Annam Nad Rice P.P Bag 35 kg,1672,1
1,ASRP.P,Annam Supiri Keeri Rice 35 kg P.P (Oman)-Jeera,1672,1
1,APP35kg - Other,Annam Common Outer Bag 35kh P.P (oman),1672,1
1,APPB100g,Annam Pepper Powder Bag 100g,1672,1
1,APRRB1kg,Annam Pink Raw Rice Bag 1kg,1672,1
1,APWB100g,Annam Pepper Whole Bag 100g,1672,1
1,ARCBG1KG,Annam Rice Bag Common 1Kg,1672,1
1,ARLDB5KG,Annam Red Lentil Dhal Bag 5KG,1671,1
1,ARPKB100g,Annam Roasted Pattani Kadala 100g,1672,1
1,ARPPB20kg,Annam Rice Common Outer Bag 20Kg(P.P) -White,1672,1
1,ARRBG1KG,Annam Red  Raw Rice Bag 1Kg,1672,1
1,ARRBG5KG,Annam Red Raw Rice Bag 5Kg,1672,1
1,ARRR1Kg,Annam Red Raw Rice 1Kg,1672,1
1,ARRS1kg,Annam Red Raw Samba 1kg,1672,1
1,ASB300g,Annam Sago Bag 300g,1672,1
1,ASKB5KG,Annam Supiri Keeri Bag 5kg,1672,1
1,ASKPB10kg,Annam Supiri Keeri Poly Sack Bag 10kg,1672,1
1,ASKR1KG,Annam Supiri Keeri  Bag 1kg,1672,1
1,ASSB1Kg,Annam Supiri Samba Bag 1kg,1672,1
1,ASSB5kg,Annam Supiri Samba Bag 5 kg,1672,1
1,ASSBG1KG,Annam Suduru Samba Rice bag 1Kg,1672,1
1,ASWFB,Annam steamed wheat flour bag 1kg,1672,1
1,ASWFB5KG,Annam Steam Wheat Flour 5KG Bag,1671,1
1,AWRB1Kg,Annam White Raw Bags  1Kg,1672,1
1,AWRRP5kg,Annam White Raw Rice 5kg Printed Bag,1671,1
1,CBLP - Foil Bag,Ceylanisa Brand Logo Printed foil Bag,1674,1
1,CFB1Kg,Chilli Flakes Bag 1Kg (190X345mm),,1
1,CLNS TEA BOX WS,Ceylanisa Tea Box Wrapping Sheet (BOPP 20MIC CUT Sheets 210MM x 300MM),1674,1
1,CNRWSHEET,Canister Wrapping Sheet (25MIC PVC Shrink Cut Sheets 155mm x 230mm),1674,1
1,Constanta - Tag,Constanta - Tag,212,1
1,CPB-F 400g,Crushed pepper Bag 400g - Food Co (178mm x 234mm),1673,1
1,FBT1kg,Foil bags for tea 1kg,,1
1,HCB100g,Hiruni Common Bags 100g,1672,1
1,HCB250g,Hiruni Common Bags 250g,1672,1
1,HCFB100g,Hiruni Chilli Flakes 100g,1672,1
1,HCFB250g,Hiruni Chilli Flakes 250g,1672,1
1,HCHPB100g,Hiruni Chilli Powder Bag 100g,1672,1
1,HCHPB250g,Hiruni Chilli Powder Bag 250g,1672,1
1,HCINB - 50g,Hiruni Cinnamon Bag - 50g (O),1672,1
1,HCMB - 100g,Hiruni Coil Murukku Bag - 100g,1672,1
1,HCPB100g,Hiruni  Curry Powder Bag 100g,1672,1
1,HCPB250g,Hiruni Curry Powder Bag 250g,1672,1
1,HCPB500g,Hiruni Curry Powder Bag 500g,1672,1
1,HCRB-5kg B,Hiruni Common Rice Bag 5KG Blue,1672,1
1,HCRB1Kg,Hiruni Common Rice Bag 1 kg,1672,1
1,HFCB - 100g,Hiruni Fried Chick Peas Bag - 100g,1672,1
1,HFDB - 100g,Hiruni Fried Dhal Bag - 100g,1672,1
1,HKB1Kg,Hiruni Kuruluthuda Rice Bag 1kg,1672,1
1,HKHB1kg,Hiruni Kaluheenati Rice Bag 1kg,1672,1
1,HMB - 100g,Hiruni Mixture Bag - 100g,1672,1
1,HMCB100,Hiruni Meat Curry Bag 100g,1672,1
1,HNBAGS,Hiruni Noodles Bag 400g,1672,1
1,HPB400g,Hiruni  Crushed Pepper Bag 400g,1672,1
1,HPCB - 100g,Hiruni Pepper Crushed Bag - 100g,1672,1
1,HPPB - 100g,Hiruni Pepper Powder Bag - 100g,1672,1
1,HPW - 100g,Hiruni Pepper Whole Bag - 100g,1672,1
1,HPWB400g,Hiruni Pepper Whole Bag 400g,1672,1
1,HRCBB - 1kg,Hiruni Rice Common Blue Bag - 1Kg,1671,1
1,HRCPB100g,Hiruni Roasted Curry Powder Bag 100g,1672,1
1,HRCPB250g,Hiruni  Roasted Curry powder Bag 250g,1672,1
1,HRCPB500g,Hiruni Roasted Curry Powder Bag 500g,1672,1
1,HRCRB - 1kg,Hiruni Rice Common Red Bag - 1Kg,1671,1
1,HRRRB-5KG,Hiruni Red Raw Rice Bag - 5KG,1671,1
1,HRRRB - 1kg,Hiruni Red Raw Rice Bag - 1Kg,1671,1
1,HSB1kg,Hiruni Suwandhel Bag 1kg,1672,1
1,HSKB1kg,Hiruni Suwandha Keeri Bag 1kg,1672,1
1,HSKRB-5KG,Hiruni Supiri Keeri Rice 5KG - bag,1672,1
